ts_iso,tMono_s,kind,accLong_ms2,accLat_ms2,accVert_ms2,lat,lng,speed_ms,gpsAcc_m
2026-05-01T19:10:20.508Z,9561.104835,imu,-0.185081,-0.109438,4.012934,,,,
2026-05-01T19:10:20.518Z,9561.114327,imu,-0.379022,-0.247639,3.604090,,,,
2026-05-01T19:10:20.528Z,9561.124706,imu,-0.563030,-0.365472,3.110551,,,,
2026-05-01T19:10:20.537Z,9561.134149,imu,-0.660841,-0.441752,2.584835,,,,
2026-05-01T19:10:20.547Z,9561.144100,imu,-0.708470,-0.462159,2.181262,,,,
2026-05-01T19:10:20.558Z,9561.154301,imu,-0.728007,-0.443554,1.988800,,,,
2026-05-01T19:10:20.567Z,9561.164017,imu,-0.716305,-0.436179,1.971105,,,,
2026-05-01T19:10:20.577Z,9561.173916,imu,-0.611448,-0.480441,2.076792,,,,
2026-05-01T19:10:20.587Z,9561.183916,imu,-0.539419,-0.573943,2.141563,,,,
2026-05-01T19:10:20.597Z,9561.193776,imu,-0.457132,-0.627069,2.162941,,,,
2026-05-01T19:10:20.607Z,9561.203768,imu,-0.378698,-0.711862,2.143263,,,,
2026-05-01T19:10:20.617Z,9561.213739,imu,-0.376624,-0.848029,2.019830,,,,
2026-05-01T19:10:20.627Z,9561.223641,imu,-0.431364,-0.985247,1.728127,,,,
2026-05-01T19:10:20.637Z,9561.233675,imu,-0.520113,-1.018049,1.281286,,,,
2026-05-01T19:10:20.647Z,9561.243546,imu,-0.662115,-1.012603,0.706813,,,,
2026-05-01T19:10:20.657Z,9561.253606,imu,-0.902835,-1.037653,-0.002246,,,,
2026-05-01T19:10:20.667Z,9561.263710,imu,-1.115722,-1.048174,-0.751952,,,,
2026-05-01T19:10:20.677Z,9561.273418,imu,-1.208238,-1.153900,-1.747176,,,,
2026-05-01T19:10:20.687Z,9561.283375,imu,-1.133455,-1.239957,-2.819694,,,,
2026-05-01T19:10:20.697Z,9561.293295,imu,-0.843840,-1.197111,-3.782493,,,,
2026-05-01T19:10:20.707Z,9561.303264,imu,-0.476831,-1.193074,-4.420509,,,,
2026-05-01T19:10:20.717Z,9561.313254,imu,-0.203446,-1.290051,-4.563353,,,,
2026-05-01T19:10:20.726Z,9561.323124,imu,-0.029433,-1.149203,-4.423855,,,,
2026-05-01T19:10:20.736Z,9561.333128,imu,0.045762,-0.758540,-4.035201,,,,
2026-05-01T19:10:20.746Z,9561.343017,imu,-0.158142,-0.230357,-3.362512,,,,
2026-05-01T19:10:20.756Z,9561.353109,imu,-0.485488,0.161352,-2.458662,,,,
2026-05-01T19:10:20.766Z,9561.363028,imu,-0.746299,0.392559,-1.530230,,,,
2026-05-01T19:10:20.776Z,9561.372911,imu,-0.929931,0.590800,-0.886174,,,,
