Run,Title,Date,Time,Type,Pickup,MaxPower,MaxEngPower,AvgPower,MaxTorque,MaxEngTorque,AvgTorque,Temperature,Pressure,Humidity,DynoCF,RPM/Speed,R.T.,60ftE.T.,330ftE.T.,1/8E.T.,1/8MPH,1000ftE.T.,1000ftMPH,1/4E.T.,1/4MPH,60MPHE.T.,100MPHE.T.,100KPHE.T.,160KPHE.T.,StartSpeed,EndSpeed,SpeedE.T.,MaxSpeed,Notes,
1,Run #1,05/18/26,12/05,RO,Snapshot,106.7546310425,122.7678298950,92.9589691162,103.9375000000,119.5281219482,109.9740447998,79.9882812500,26.2690428696,48.7329711914,1.1619697342,5.6193332342,0.0000000000,2.1615204811,6.7349514961,10.6892471313,66.4136886597,14.1034440994,76.2863159180,16.9681224823,83.6760101318,8.7243757248,24.2343769073,9.3569450378,23.9537811279,0.0000000000,0.0000000000,0.0000000000,81.3395004272,,

Time,Speed I,Speed II,Distance I,Distance II,RPM,CPM,AF1,Power Accel I,Power Accel,Power I,Power,Power Split I,Roll Speed I,Roll Speed II,Torque Accel I,Torque Accel,Torque I,Torque,Torque Split I,Torque Roll Accel I,Torque Roll(s) Accel,Power Roll(s) Accel,Power Roll Accel I,Torque Roll I,Torque Roll(s),Power Roll I,Power Roll(s),Gear Ratio I,Gear Ratio II,Acceleration I,Acceleration II,            ###Average Piston Speed,Estimated Distance,Estimated Time,
4.2923707962,49.5661354065,0.0000000000,245.0001068115,0.0000000000,3900.0000000000,3900.0009765625,10.3808593750,83.8120346069,83.8120346069,83.8120346069,83.8120346069,1.0000000000,694.0326538086,0.0000000000,112.8692779541,112.8692779541,112.8692779541,112.8692779541,1.0000000000,634.2501220703,634.2501220703,83.8120346069,83.8120346069,634.2501220703,634.2501220703,83.8120346069,83.8120346069,5.6193318367,0.0000000000,4.7809996605,0.0000000000,0.0000000000,2600.0000000000,271.0613098145,6.3494319916,
4.4252705574,50.2015953064,0.0000000000,254.7249298096,0.0000000000,3950.0000000000,3950.0007324219,10.3808593750,84.9518585205,84.9518585205,84.9518585205,84.9518585205,1.0000000000,702.9304809570,0.0000000000,112.9561233521,112.9561233521,112.9561233521,112.9561233521,1.0000000000,634.7380981445,634.7380981445,84.9518585205,84.9518585205,634.7380981445,634.7380981445,84.9518585205,84.9518585205,5.6193323135,0.0000000000,4.7846784592,0.0000000000,0.0000000000,2633.3332519531,285.5317382813,6.5591387749,
4.5579085350,50.8370094299,0.0000000000,264.5541992188,0.0000000000,4000.0000000000,3999.9968261719,10.3808593750,86.2155990601,86.2155990601,86.2155990601,86.2155990601,1.0000000000,711.8276367188,0.0000000000,113.2036132813,113.2036132813,113.2036132813,113.2036132813,1.0000000000,636.1288452148,636.1288452148,86.2155990601,86.2155990601,636.1288452148,636.1288452148,86.2155990601,86.2155990601,5.6193380356,0.0000000000,4.7951617241,0.0000000000,0.0000000000,2666.6667480469,300.2535705566,6.7684330940,
4.6905951500,51.4725074768,0.0000000000,274.5104370117,0.0000000000,4050.0000000000,4050.0000000000,10.3808593750,87.1443176270,87.1443176270,87.1443176270,87.1443176270,1.0000000000,720.7260131836,0.0000000000,113.0103302002,113.0103302002,113.0103302002,113.0103302002,1.0000000000,635.0427246094,635.0427246094,87.1443176270,87.1443176270,635.0427246094,635.0427246094,87.1443176270,87.1443176270,5.6193337440,0.0000000000,4.7869744301,0.0000000000,0.0000000000,2700.0000000000,315.2574768066,6.9778037071,
4.8232073784,52.1079444885,0.0000000000,284.5848083496,0.0000000000,4100.0000000000,4099.9975585938,10.3808593750,88.4384078979,88.4384078979,88.4384078979,88.4384078979,1.0000000000,729.6234741211,0.0000000000,113.2899551392,113.2899551392,113.2899551392,113.2899551392,1.0000000000,636.6140136719,636.6140136719,88.4384078979,88.4384078979,636.6140136719,636.6140136719,88.4384078979,88.4384078979,5.6193366051,0.0000000000,4.7988190651,0.0000000000,0.0000000000,2733.3332519531,330.5275573730,7.1870570183,
4.9552063942,52.7434806824,0.0000000000,294.7354736328,0.0000000000,4150.0000000000,4150.0034179688,10.3808593750,90.0895843506,90.0895843506,90.0895843506,90.0895843506,1.0000000000,738.5223999023,0.0000000000,114.0145263672,114.0145263672,114.0145263672,114.0145263672,1.0000000000,640.6856079102,640.6856079102,90.0895843506,90.0895843506,640.6856079102,640.6856079102,90.0895843506,90.0895843506,5.6193284988,0.0000000000,4.8295111656,0.0000000000,0.0000000000,2766.6667480469,345.9983825684,7.3953423500,
5.0865626335,53.3789520264,0.0000000000,304.9591369629,0.0000000000,4200.0000000000,4200.0039062500,10.3808593750,91.4459228516,91.4459228516,91.4459228516,91.4459228516,1.0000000000,747.4203491211,0.0000000000,114.3533020020,114.3533020020,114.3533020020,114.3533020020,1.0000000000,642.5892944336,642.5892944336,91.4459228516,91.4459228516,642.5892944336,642.5892944336,91.4459228516,91.4459228516,5.6193280220,0.0000000000,4.8438611031,0.0000000000,0.0000000000,2800.0000000000,361.6611633301,7.6026139259,
5.2177815437,54.0143547058,0.0000000000,315.2943420410,0.0000000000,4250.0000000000,4249.9990234375,10.3808593750,92.5418701172,92.5418701172,92.5418701172,92.5418701172,1.0000000000,756.3173217773,0.0000000000,114.3624649048,114.3624649048,114.3624649048,114.3624649048,1.0000000000,642.6408081055,642.6408081055,92.5418701172,92.5418701172,642.6408081055,642.6408081055,92.5418701172,92.5418701172,5.6193346977,0.0000000000,4.8442492485,0.0000000000,0.0000000000,2833.3332519531,377.5718688965,7.8096685410,
5.3486185074,54.6498069763,0.0000000000,325.7213134766,0.0000000000,4300.0000000000,4299.9985351563,10.3808593750,94.0809097290,94.0809097290,94.0809097290,94.0809097290,1.0000000000,765.2150878906,0.0000000000,114.9125061035,114.9125061035,114.9125061035,114.9125061035,1.0000000000,645.7316894531,645.7316894531,94.0809097290,94.0809097290,645.7316894531,645.7316894531,94.0809097290,94.0809097290,5.6193351746,0.0000000000,4.8675479889,0.0000000000,0.0000000000,2866.6667480469,393.6982116699,8.0161199570,
5.4785432816,55.2852973938,0.0000000000,336.1965942383,0.0000000000,4350.0000000000,4350.0009765625,10.3808593750,96.1920928955,96.1920928955,96.1920928955,96.1920928955,1.0000000000,774.1132812500,0.0000000000,116.1406173706,116.1406173706,116.1406173706,116.1406173706,1.0000000000,652.6328125000,652.6328125000,96.1920928955,96.1920928955,652.6328125000,652.6328125000,96.1920928955,96.1920928955,5.6193323135,0.0000000000,4.9195694923,0.0000000000,0.0000000000,2900.0000000000,409.9715270996,8.2211332321,
5.6073880196,55.9207382202,0.0000000000,346.7046508789,0.0000000000,4400.0000000000,4399.9990234375,10.3808593750,97.8697204590,97.8697204590,97.8697204590,97.8697204590,1.0000000000,783.0108032227,0.0000000000,116.8234024048,116.8234024048,116.8234024048,116.8234024048,1.0000000000,656.4696655273,656.4696655273,97.8697204590,97.8697204590,656.4696655273,656.4696655273,97.8697204590,97.8697204590,5.6193346977,0.0000000000,4.9484915733,0.0000000000,0.0000000000,2933.3332519531,426.3641662598,8.4244413376,
5.7356567383,56.5562324524,0.0000000000,357.2854919434,0.0000000000,4450.0000000000,4450.0014648438,10.3808593750,99.0471725464,99.0471725464,99.0471725464,99.0471725464,1.0000000000,791.9091186523,0.0000000000,116.9004058838,116.9004058838,116.9004058838,116.9004058838,1.0000000000,656.9023437500,656.9023437500,99.0471725464,99.0471725464,656.9023437500,656.9023437500,99.0471725464,99.0471725464,5.6193318367,0.0000000000,4.9517531395,0.0000000000,0.0000000000,2966.6667480469,442.9341430664,8.6268405914,
5.8641071320,57.1917037964,0.0000000000,368.0010070801,0.0000000000,4500.0000000000,4500.0019531250,10.3808593750,99.9727096558,99.9727096558,99.9727096558,99.9727096558,1.0000000000,800.8070678711,0.0000000000,116.6817169189,116.6817169189,116.6817169189,116.6817169189,1.0000000000,655.6734619141,655.6734619141,99.9727096558,99.9727096558,655.6734619141,655.6734619141,99.9727096558,99.9727096558,5.6193308830,0.0000000000,4.9424896240,0.0000000000,0.0000000000,3000.0000000000,459.7763671875,8.8295278549,
5.9927988052,57.8271369934,0.0000000000,378.8564453125,0.0000000000,4550.0000000000,4550.0000000000,10.3808593750,101.0261077881,101.0261077881,101.0261077881,101.0261077881,1.0000000000,809.7045288086,0.0000000000,116.6155090332,116.6155090332,116.6155090332,116.6155090332,1.0000000000,655.3013916016,655.3013916016,101.0261077881,101.0261077881,655.3013916016,655.3013916016,101.0261077881,101.0261077881,5.6193337440,0.0000000000,4.9396853447,0.0000000000,0.0000000000,3033.3332519531,476.8977966309,9.0325937271,
6.1212043762,58.4626007080,0.0000000000,389.8073730469,0.0000000000,4600.0000000000,4599.9995117188,10.3808593750,102.4087677002,102.4087677002,102.4087677002,102.4087677002,1.0000000000,818.6023559570,0.0000000000,116.9266281128,116.9266281128,116.9266281128,116.9266281128,1.0000000000,657.0496826172,657.0496826172,102.4087677002,102.4087677002,657.0496826172,657.0496826172,102.4087677002,102.4087677002,5.6193342209,0.0000000000,4.9528636932,0.0000000000,0.0000000000,3066.6667480469,494.2266235352,9.2352094650,
6.2493662834,59.0980758667,0.0000000000,400.8566894531,0.0000000000,4650.0000000000,4650.0004882813,10.3808593750,103.6251220703,103.6251220703,103.6251220703,103.6251220703,1.0000000000,827.5003662109,0.0000000000,117.0431823730,117.0431823730,117.0431823730,117.0431823730,1.0000000000,657.7046508789,657.7046508789,103.6251220703,103.6251220703,657.7046508789,657.7046508789,103.6251220703,103.6251220703,5.6193327904,0.0000000000,4.9578008652,0.0000000000,0.0000000000,3100.0000000000,511.7654418945,9.4374399185,
6.3775677681,59.7334709167,0.0000000000,412.0293273926,0.0000000000,4700.0000000000,4699.9951171875,10.3808593750,104.6487045288,104.6487045288,104.6487045288,104.6487045288,1.0000000000,836.3972778320,0.0000000000,116.9419937134,116.9419937134,116.9419937134,116.9419937134,1.0000000000,657.1360473633,657.1360473633,104.6487045288,104.6487045288,657.1360473633,657.1360473633,104.6487045288,104.6487045288,5.6193389893,0.0000000000,4.9535145760,0.0000000000,0.0000000000,3133.3332519531,529.5509033203,9.6397342682,
